oked_id,oked_name_ru,total_requirements,num_spheres,rank
123,Добыча сырой нефти и попутного газа,36612.0,20,1
126,"Добыча  природного газа, кроме метана",36256.0,17,2
114,Обогащение каменного угля,35925.0,17,3
113,Добыча каменного угля подземным способом,35714.0,15,4
943,Производство газообразного топлива,35534.0,15,5
119,Обогащение лигнита (бурого угля),35511.0,17,6
164,Добыча и обогащение неметаллических руд,35511.0,17,7
2083,"Прочие отрасли горнодобывающей промышленности, не включенные в другие категории",35355.0,15,8
117,Добыча лигнита (бурого угля) открытым способом,35155.0,14,9
112,Добыча каменного угля открытым способом,35155.0,14,10
406,Производство промышленных газов,34975.0,14,11
2077,Добыча лигнита,34632.0,13,12
2076,Добыча каменного угля,34632.0,13,13
770,"Производство оборудования для пайки и сварки, машин и аппаратов для поверхностного отпуска и газотермического напыления",34433.0,12,14
796,Производство нефтегазоперерабатывающего оборудования,34433.0,12,15
2145,"Производство техники для горнодобывающей промышленности, подземной разработки и строительства",34421.0,11,16
402,Агломерация и производство брикетов из лигнита,34421.0,11,17
118,Добыча лигнита (бурого угля) подземным способом,32152.0,14,18
947,Продажа газообразного топлива по трубопроводам,31972.0,12,19
945,Распределение газообразного топлива по трубопроводам,31960.0,11,20
172,"Предоставление услуг, способствующих добыче нефти и природного газа",31913.0,15,21
1008,Строительство нефтяных и газовых магистральных трубопроводов,31897.0,10,22
2184,"Оптовая торговля твердым, жидким и газообразным топливом и подобными продуктами",31675.0,14,23
175,"Предоставление услуг, способствующих добыче других полезных ископаемых",31371.0,13,24
1181,Оптовая торговля сырой нефтью и попутным газом,25276.0,12,25
1182,Оптовая торговля природным (горючим) газом,25276.0,12,26
944,Распределение газообразного топлива по трубопроводам,23502.0,1,27
1913,"Деятельность других лечебных учреждений, имеющих стационары",17243.0,18,28
928,Производство электроэнергии тепловыми электростанциями,17161.0,14,29
2283,Деятельность больничных организаций,17150.0,17,30
1911,Деятельность санаторно-курортных организаций,16810.0,18,31
1909,Деятельность больниц широкого профиля и специализированных больниц,16665.0,17,32
1920,Стоматологическая деятельность,16524.0,15,33
1910,Деятельность родильных домов,16516.0,16,34
1875,Дошкольное (доначальное) образование,15943.0,15,35
180,Переработка и консервирование мяса,15837.0,17,36
144,Добыча драгоценных металлов и руд редких металлов,15590.0,19,37
184,Производство продуктов из мяса и мяса сельскохозяйственной птицы,15170.0,16,38
182,Переработка и консервирование мяса сельскохозяйственной птицы,15122.0,15,39
1423,"Складирование и хранение продовольственных товаров, кроме овощей и фруктов",14910.0,12,40
2080,Добыча руд других цветных металлов,14832.0,15,41
930,Производство электроэнергии ядерными (атомными) электростанциями,14729.0,13,42
952,Передача тепловой энергии,14651.0,15,43
959,"Сбор, обработка и распределение воды",14651.0,15,44
206,Производство мороженого,14611.0,15,45
977,Ликвидация отходов,14495.0,13,46
1033,"Монтаж систем водоснабжения, отопления и кондиционирования воздуха",14407.0,14,47
203,"Переработка молока, кроме консервирования, и производство сыров",14400.0,13,48
204,Производство молочных консервов,14400.0,13,49
2085,Переработка молока и производство сыра,14388.0,13,50
167,"Добыча драгоценных камней (кроме алмазов) и полудрагоценных камней, самоцветов и янтаря",14308.0,16,51
1881,Основное и общее среднее образование,14244.0,17,52
950,Производство тепловой энергии тепловыми сетями,14163.0,13,53
951,Производство тепловой энергии самостоятельными котельными,14151.0,12,54
954,Производство тепловой энергии тепловыми электростанциями,14151.0,12,55
2291,Стирка и (химическая) чистка текстильных изделий и изделий из меха,14136.0,13,56
502,"Производство кирпича, черепицы и прочих строительных изделий из обожженной глины",14122.0,14,57
963,Канализационная система,14092.0,15,58
1878,Начальное образование (первая ступень),14044.0,15,59
846,"Производство мебели для офисов и предприятий торговли, кроме стульев и другой мебели для сидения",14040.0,14,60
728,Производство подшипников,13977.0,13,61
605,Производство радиаторов и котлов центрального отопления,13977.0,13,62
352,"Производство сборных домов, преимущественно из дерева",13977.0,13,63
729,"Производство зубчатых передач, элементов зубчатых передач и приводов",13977.0,13,64
883,Производство прочих изделий,13977.0,13,65
852,Производство прочей мебели,13977.0,13,66
845,Производство стульев и другой мебели для сидения,13977.0,13,67
351,Производство деревянных изделий для строительства,13977.0,13,68
488,Производство хозяйственно-бытовых изделий из стекла и стеклянной посуды,13977.0,13,69
526,Производство силикатного кирпича,13977.0,13,70
494,"Производство стеклянных изделий, не включенных в другие группировки",13977.0,13,71
474,Производство пластмассовых упаковок для товаров,13977.0,13,72
848,Производство кухонной мебели,13977.0,13,73
882,Производство сувенирных изделий,13977.0,13,74
602,Производство металлических дверей и окон,13977.0,13,75
2148,Производство автотранспортных средств,13965.0,12,76
2109,"Производство прочих химических продуктов, не включенных в другие категории",13965.0,13,77
2138,"Производство плит, печей и печных горелок",13965.0,12,78
2153,Производство офисной и студийной мебели,13965.0,12,79
2142,Производство сельскохозяйственной и лесохозяйственной техники,13965.0,12,80
2115,Производство и обработка прочих стеклянных изделий,13965.0,12,81
2112,Производство прочей резиновой продукции,13965.0,12,82
806,Производство двигателей,13929.0,12,83
466,Восстановление резиновых шин и покрышек,13929.0,12,84
2043,Химическая чистка и крашение,13917.0,11,85
2281,"Прочие виды образования, не включенные в другие категории",13785.0,15,86
1889,Высшее образование,13647.0,14,87
2235,Предоставление услуг гостиницами,13620.0,13,88
192,Производство фруктовых и овощных соков,13618.0,14,89
209,Производство муки,13618.0,14,90
194,Прочие виды переработки и консервирования фруктов и овощей,13570.0,13,91
216,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения,13552.0,13,92
259,"Производство безалкогольных напитков, минеральных вод и других вод в бутылках",13552.0,13,93
1894,Образование в сфере культуры,13534.0,14,94
1887,Послесреднее образование,13532.0,14,95
1892,Спортивное образование и образование специалистов организации досуга,13532.0,14,96
1883,Профессионально-техническое образование,13502.0,13,97
1884,Среднее специальное образование,13502.0,13,98
309,Производство одежды из кожи,13462.0,13,99
305,"Производство других текстильных изделий, не включенных в другие группировки",13462.0,13,100
317,Производство головных уборов,13462.0,13,101
313,Производство прочей верхней одежды,13462.0,13,102
311,Производство спецодежды,13462.0,13,103
1923,Прочая деятельность по охране здоровья,13459.0,15,104
355,Производство деревянной тары,13407.0,12,105
353,"Производство деревянных контейнерных, цельноперевозных и сборно-разборных зданий и помещений",13407.0,12,106
338,Производство обуви,13407.0,12,107
210,Производство круп,13407.0,12,108
220,Производство макаронных изделий,13407.0,12,109
231,Производство готовых пищевых продуктов,13407.0,12,110
218,"Производство сухарей и печенья, мучных кондитерских изделий длительного хранения",13407.0,12,111
225,"Производство какао, шоколада и сахаристых кондитерских изделий",13407.0,12,112
357,Производство разных деревянных изделий,13407.0,12,113
2100,"Производство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения",13395.0,11,114
2086,Производство продуктов мукомольно-крупяной промышленности,13395.0,11,115
2087,"Производство прочих продуктов питания, не включенных в другие категории",13395.0,12,116
381,Печатание газет,13359.0,11,117
2042,Стирка и обработка белья,13347.0,10,118
1898,Деятельность вечерних общеобразовательных школ,13324.0,13,119
1912,Деятельность лепрозориев,13310.0,14,120
2280,Техническое и профессиональное среднее образование,13264.0,11,121
2045,Предоставление услуг парикмахерскими и салонами красоты,13115.0,9,122
1916,Общая врачебная практика,12948.0,13,123
1918,Специальная врачебная практика,12948.0,13,124
135,Добыча урановой и ториевой руд,12899.0,17,125
145,"Добыча и обогащение прочих металлических руд, не включенных в другие группировки",12568.0,17,126
139,Добыча и обогащение свинцово-цинковой руды,12568.0,17,127
142,Добыча и обогащение оловянной руды,12423.0,16,128
143,Добыча и обогащение сурьмяно-ртутных руд,12423.0,16,129
141,Добыча и обогащение титаномагниевого сырья (руды),12423.0,16,130
138,Добыча и обогащение медной руды,12423.0,16,131
140,Добыча и обогащение никель-кобальтовых руд,12423.0,16,132
1927,Деятельность организаций по уходу за больными с обеспечением проживания,12315.0,11,133
131,Добыча железных руд подземным способом,12212.0,14,134
137,Добыча и обогащение алюминийсодержащего сырья,12212.0,14,135
127,Добыча метана  из угольных месторождений,12195.0,15,136
974,Обработка и удаление опасных отходов,12086.0,15,137
969,Сбор опасных отходов,12056.0,13,138
161,Добыча соли,12009.0,16,139
157,Добыча минерального сырья для химической промышленности и производства удобрений,12009.0,16,140
151,Добыча сланцев,12009.0,16,141
150,"Добыча известняка, гипса и мела",12009.0,16,142
153,Разработка гравийных и песчаных карьеров,12009.0,16,143
668,Производство медико-хирургических инструментов,11867.0,13,144
165,Добыча сырья для естественных и искусственных пористых заполнителей,11864.0,15,145
159,Добыча торфа,11864.0,15,146
149,Добыча отделочного и строительного камня,11864.0,15,147
154,Добыча глины и каолина,11864.0,15,148
163,Добыча асбестовой руды,11864.0,15,149
2078,Добыча природного газа,11817.0,16,150
517,Производство цемента,11702.0,14,151
132,Добыча железных руд открытым способом,11653.0,13,152
1389,Услуги по перевозкам,11566.0,14,153
187,"Переработка и консервирование рыбы, ракообразных и моллюсков",11565.0,13,154
1848,Деятельность местных органов управления,11564.0,21,155
755,"Производство прочих машин и оборудования, деталей  и узлов",11557.0,13,156
675,"Производство облучающего, электромедицинского и электротерапевтического оборудования",11557.0,13,157
2123,Производство строительных металлических конструкций и изделий,11545.0,12,158
399,Производство продуктов нефтепереработки,11521.0,14,159
980,Переработка отходов и лома цветных металлов,11497.0,12,160
979,Переработка отходов и лома черных металлов,11497.0,12,161
981,Переработка неметаллических отходов,11497.0,12,162
985,Рекультивация и прочие услуги в области удаления отходов,11497.0,12,163
2164,Системы подачи пара и кондиционирования воздуха,11478.0,11,164
304,Производство валяльно-войлочных изделий,11457.0,13,165
240,Производство готовых кормов для сельскохозяйственных животных,11402.0,12,166
242,Производство готовых кормов для домашних животных,11390.0,11,167
2121,Производство прочих цветных металлов,11323.0,14,168
460,Производство фармацевтических препаратов,11303.0,11,169
166,Добыча исходного сырья для стекольной промышленности,11286.0,14,170
578,"Производство титана, порошка из титана, магния, вольфрама и молибдена",11190.0,14,171
571,Производство алюминия,11190.0,14,172
575,Производство меди,11190.0,14,173
573,"Производство свинца, цинка и олова",11190.0,14,174
577,Производство никеля и кобальта,11190.0,14,175
579,Производство сурьмы и ртути,11190.0,14,176
581,"Производство редких, редкоземельных металлов и полупроводниковых материалов",11190.0,14,177
2084,Производство масел и жиров,11178.0,14,178
2081,"Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев",11130.0,12,179
2079,Добыча железной руды,11130.0,12,180
580,Обработка цветных металлов и сплавов,11130.0,12,181
2082,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",11130.0,12,182
2117,Производство извести и строительного гипса,11112.0,12,183
2118,Производство строительных изделий из бетона,11112.0,12,184
972,Обработка и удаление неопасных отходов,11094.0,14,185
168,Добыча алмазов,11075.0,12,186
938,Распределение электроэнергии,11059.0,10,187
993,Строительство жилых зданий,11056.0,13,188
65,Деятельность инкубаторно-птицеводческих станций,11045.0,10,189
331,Производство искусственных кож и пленочных материалов,11034.0,13,190
301,Производство прочих тестильных изделий технического и производственного назначения,11034.0,13,191
569,Производство благородных (драгоценных) металлов,11003.0,13,192
413,Производство биоэтанола,10993.0,13,193
816,Производство гаражного и автозаправочного оборудования,10979.0,12,194
813,Производство электрического и электронного оборудования для автотранспортных средств (без ремонта),10979.0,12,195
815,Производство прочих частей и принадлежностей автотранспортных средств и их двигателей,10979.0,12,196
835,Производство мотоциклов,10979.0,12,197
837,Производство велосипедов,10979.0,12,198
880,Производство канцелярских изделий,10979.0,12,199
881,Производство изделий металлической галантереи,10979.0,12,200
519,Производство извести,10979.0,12,201
520,Производство известняковой и доломитовой муки,10979.0,12,202
838,Производство инвалидных колясок/кресел,10979.0,12,203
839,Производство детских колясок,10979.0,12,204
841,"Производство прочих транспортных средств и оборудования, не включенных в другие группировки",10979.0,12,205
850,Производство матрасов,10979.0,12,206
530,Производство товарного бетона,10979.0,12,207
531,Производство асфальтобетона,10979.0,12,208
533,Производство строительных растворов,10979.0,12,209
535,Производство изделий из асбестоцемента и волокнистого цемента,10979.0,12,210
537,"Производство прочих изделий из бетона, строительного гипса и цемента",10979.0,12,211
543,Производство абразивных изделий,10979.0,12,212
545,Производство асбестотехнических изделий,10979.0,12,213
487,Производство стеклянной тары,10979.0,12,214
597,Производство строительных стальных конструкций,10979.0,12,215
598,Производство легких металлических конструкций,10979.0,12,216
599,Производство строительных конструкций и изделий из алюминия и алюминиевых сплавов,10979.0,12,217
600,Производство контейнерных и сборно-разборных зданий и помещений,10979.0,12,218
521,Производство строительного гипса,10979.0,12,219
524,Производство сборных железобетонных и бетонных конструкций и изделий,10979.0,12,220
525,Производство стеновых блоков,10979.0,12,221
528,Производство изделий из гипса для строительных целей,10979.0,12,222
549,Производство изделий из битума и аналогичных материалов,10979.0,12,223
550,Производство изделий из неметаллических руд,10979.0,12,224
554,"Производство чугуна, стали и ферросплавов",10979.0,12,225
566,Производство проволоки путем холодного волочения,10979.0,12,226
490,Производство стекловолокна,10979.0,12,227
492,Производство электротехнического и электровакуумного стекла,10979.0,12,228
493,Производство химико-лабораторной посуды из стекла,10979.0,12,229
497,Производство огнеупорных изделий,10979.0,12,230
500,Производство керамических покрытий и плит,10979.0,12,231
505,Производство хозяйственно-бытовых изделий из фарфора и фаянса,10979.0,12,232
508,Производство керамических санитарно-технических изделий,10979.0,12,233
510,Производство керамических электрических изоляторов и изолирующей арматуры,10979.0,12,234
512,Производство прочих технических керамических изделий,10979.0,12,235
514,Производство прочих керамических изделий,10979.0,12,236
465,"Производство резиновых шин, покрышек и камер",10979.0,12,237
468,Производство резинотехнических изделий,10979.0,12,238
469,Производство резиновых санитарно-гигиенических и медицинских изделий,10979.0,12,239
472,"Производство пластмассовых плит, листов, труб и профилей",10979.0,12,240
476,"Производство пластмассовых изделий, используемых в строительстве",10979.0,12,241
477,Производство линолеума и прочих эластичных покрытий для пола,10979.0,12,242
479,Производство прочих пластмассовых изделий,10979.0,12,243
