sphere_1,sphere_2,count,avg_sim,max_sim
в области железнодорожного транспорта,в сфере транспорта,2156,0.998,1.0
в области гражданской обороны,в области пожарной безопасности,635,0.996,1.0
в области теплоэнергетики,в области электроэнергетики,356,0.985,1.0
в области соблюдения законодательства Республики Казахстан о Национальном архивном фонде и архивах,за соблюдением законодательства Республики Казахстан о Национальном архивном фонде и архивах,271,0.991,1.0
в области автомобильного транспорта,в сфере транспорта,232,0.996,1.0
в области связи,в сфере информатизации,218,0.997,1.0
МинОбороны (в сфере санитарно-эпидемиологического благополучия населения),в сфере санитарно-эпидемиологического благополучия населения,157,0.993,1.0
НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),в сфере санитарно-эпидемиологического благополучия населения,157,0.993,1.0
за соблюдением законодательства Республики Казахстан о масс-медиа,за соблюдением законодательства Республики Казахстан о телерадиовещании,142,0.995,1.0
за качеством оказываемых медицинских и специальных социальных услуг,за соблюдением трудового законодательства Республики Казахстан и законодательства Республики Казахстан о занятости населения;,129,0.99,1.0
в области социальной защиты лиц с инвалидностью,в сфере предоставления специальных социальных услуг,121,0.994,1.0
за соблюдением законодательства Республики Казахстан о лотереях и лотерейной деятельности,за соблюдением законодательства Республики Казахстан об игорном бизнесе,120,1.0,1.0
в области защиты прав ребенка,за системой образования,112,0.975,1.0
"в области оборота ядов, вооружения, военной техники и отдельных видов оружия, взрывчатых и пиротехнических веществ и изделий с их применением",за соблюдением законодательства Республики Казахстан о телерадиовещании,95,0.999,1.0
в сферах естественных монополий (услуг аэропортов и аэронавигации) и за соблюдением порядка ценообразования и обязанностей субъекта общественно значимого рынка (услуг аэропортов),"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",89,0.98,1.0
В области промышленной безопасности по соблюдению требований безопасной эксплуатации опасных технических устройств в пределах границ населенных пунктов на объектах социальной инфраструктуры,в сфере управления жилищным фондом,83,0.997,1.0
"в области оборота ядов, вооружения, военной техники и отдельных видов оружия, взрывчатых и пиротехнических веществ и изделий с их применением",за соблюдением законодательства Республики Казахстан о масс-медиа,77,0.994,1.0
за использованием и охраной земель,"земельных отношений, влияющих на земельные правоотношения и не являющихся субъектами частного предпринимательства",74,0.996,1.0
в области разрешительного контроля,"в сферах обеспечения информационной безопасности и специальных технических средств, предназначенных для проведения оперативно-розыскных мероприятий",74,0.992,1.0
"в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора",по вопросам проверок за деятельностью местных исполнительных органов по делам строительства,70,0.988,1.0
В области промышленной безопасности по соблюдению требований безопасной эксплуатации опасных технических устройств в пределах границ населенных пунктов на объектах социальной инфраструктуры,в области промышленной безопасности,64,0.99,1.0
"за деятельностью по монтажу, наладке и техническому обслуживанию средств охранной сигнализации",за охранной деятельностью,60,0.995,1.0
"в области архитектуры, градостроительства и строительства","в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора",60,0.984,1.0
в области промышленной безопасности,в сфере управления жилищным фондом,59,0.991,1.0
"за деятельностью по монтажу, наладке и техническому обслуживанию средств охранной сигнализации","за деятельностью специализированных учебных центров по подготовке и повышению квалификации работников, занимающих должности руководителя и охранника в частной охранной организации",58,0.997,1.0
"за деятельностью специализированных учебных центров по подготовке и повышению квалификации работников, занимающих должности руководителя и охранника в частной охранной организации",за охранной деятельностью,57,0.995,1.0
в сферах естественных монополий,в сфере естественных монополий по услугам подачи воды по каналам и регулирования поверхностного стока при помощи подпорных гидротехнических сооружений,53,0.997,1.0
в сфере государственной регистрации прав на недвижимое имущество,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",53,0.998,1.0
в сфере газа и газоснабжения,"при проведении операций по недропользованию в области углеводородов, добычи урана;",42,0.984,1.0
в области пожарной безопасности,в области промышленной безопасности,39,0.97,0.983
МинОбороны (в сфере санитарно-эпидемиологического благополучия населения),НацГвардия (в сфере санитарно-эпидемиологического благополучия населения),38,1.0,1.0
за системой образования (общее среднее образование),за системой образования (основное среднее образование),37,1.0,1.0
в области торгового мореплавания;,в сфере транспорта,36,0.995,1.0
в области метрологии,за соблюдением законодательства Республики Казахстан об аккредитации в области оценки соответствия,35,0.995,1.0
в сфере государственной службы государственными органами и норм служебной этики государственными служащими,в сфере государственных услуг,35,0.992,1.0
"в области архитектуры, градостроительства и строительства",по вопросам проверок за деятельностью местных исполнительных органов по делам государственного архитектурно-строительного контроля и надзора,30,0.965,0.974
в области железнодорожного транспорта,в области промышленной безопасности,30,0.996,1.0
в области промышленности,"при проведении операций по недропользованию в области углеводородов, добычи урана;",29,0.958,0.997
за системой образования (начальное образование),за системой образования (общее среднее образование),27,1.0,1.0
за системой образования (начальное образование),за системой образования (основное среднее образование),27,1.0,1.0
в области применения законодательства Республики Казахстан о языках,за соблюдением законодательства Республики Казахстан о языках в части размещения реквизитов и визуальной информации,27,0.996,1.0
в области пожарной безопасности,в области электроэнергетики,27,0.984,0.994
"в области оборота ядов, вооружения, военной техники и отдельных видов оружия, взрывчатых и пиротехнических веществ и изделий с их применением",в сфере санитарно-эпидемиологического благополучия населения,27,0.968,0.968
"в области архитектуры, градостроительства и строительства за деятельностью местных исполнительных органов по делам архитектуры, градостроительства, строительства и государственного архитектурно-строительного контроля и надзора",по вопросам проверок за деятельностью местных исполнительных органов по делам государственного архитектурно-строительного контроля и надзора,21,0.979,1.0
в области промышленной безопасности,в сфере санитарно-эпидемиологического благополучия населения,19,0.957,0.982
в сферах естественных монополий,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",17,0.983,1.0
