section,section_name_ru,total,small_legal,medium_legal,individual,farming
A,Сельское лесное и рыбное хозяйство,273356,18361,262,5385,249348
B,Горнодобывающая промышленность и разработка карьеров,5658,4960,112,586,0
C,Обрабатывающая промышленность,103834,22384,542,80908,0
D,"Снабжение электроэнергией, газом, паром и кондиционированным воздухом",1930,1416,33,481,0
E,"Водоснабжение, водоотведение, сбор и удаление отходов",4105,1952,46,2107,0
F,Строительство,118751,56246,302,62203,0
G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,742446,105461,495,636490,0
H,Транспорт и складирование,179220,18231,209,160780,0
I,Предоставление услуг по проживанию и питанию,58906,8936,88,49882,0
J,Информация и связь,35363,15155,79,20129,0
K,Финансовая и страховая деятельность,5021,4415,52,554,0
L,Операции с недвижимым имуществом,103282,14854,55,88373,0
M,"Профессиональная, научная и техническая деятельность",59460,27998,119,31343,0
N,Деятельность в области административного и вспомогательного обслуживания,64040,20389,264,43387,0
P,Образование,47211,16075,139,30997,0
Q,Здравоохранение и социальное обслуживание населения,19108,9684,231,9193,0
R,"Искусство, развлечения и отдых",20746,4206,29,16511,0
S,Предоставление прочих видов услуг,268940,24739,34,244167,0
