section,key,count,avg_similarity,max_similarity
by_dup_type,внутри сферы/органа,676296,0.92,1.0
by_dup_type,кросс-орган,6556,0.94,1.0
by_dup_type,кросс-сфера,11499,0.955,1.0
by_dup_type,кросс-сфера + кросс-орган,127954,0.992,1.0
top_spheres_cross_dup,за качеством оказываемых медицинских и специальных социальных услуг,75196,,
top_spheres_cross_dup,в области промышленной безопасности,61521,,
top_spheres_cross_dup,в области технического регулирования,27056,,
top_spheres_cross_dup,в области электроэнергетики,15415,,
top_spheres_cross_dup,за системой образования,9402,,
top_spheres_cross_dup,в области железнодорожного транспорта,8110,,
top_spheres_cross_dup,"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",7385,,
top_spheres_cross_dup,за охранной деятельностью,7367,,
top_spheres_cross_dup,в области ветеринарии,5956,,
top_spheres_cross_dup,за соблюдением законодательства Республики Казахстан о Национальном архивном фонде и архивах,5860,,
top_spheres_cross_dup,в сфере транспорта,5848,,
top_spheres_cross_dup,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями",4939,,
top_spheres_cross_dup,в сфере санитарно-эпидемиологического благополучия населения,4488,,
top_spheres_cross_dup,в области пожарной безопасности,4116,,
top_spheres_cross_dup,"при проведении операций по недропользованию в области углеводородов, добычи урана;",3913,,
top_spheres_cross_dup,за соблюдением законодательства Республики Казахстан об игорном бизнесе,3410,,
top_spheres_cross_dup,в области поддержки и защиты субъектов предпринимательства,3350,,
top_spheres_cross_dup,за соблюдением трудового законодательства Республики Казахстан и законодательства Республики Казахстан о занятости населения;,3064,,
top_spheres_cross_dup,в сферах естественных монополий,2586,,
top_spheres_cross_dup,"в области архитектуры, градостроительства и строительства",2575,,
top_sphere_pairs,в области промышленной безопасности <-> за качеством оказываемых медицинских и специальных социальных услуг,31098,,
top_sphere_pairs,в области технического регулирования <-> за качеством оказываемых медицинских и специальных социальных услуг,11615,,
top_sphere_pairs,в области промышленной безопасности <-> в области технического регулирования,7562,,
top_sphere_pairs,в области электроэнергетики <-> за качеством оказываемых медицинских и специальных социальных услуг,5705,,
top_sphere_pairs,в области промышленной безопасности <-> в области электроэнергетики,4089,,
top_sphere_pairs,в области железнодорожного транспорта <-> в сфере транспорта,3014,,
top_sphere_pairs,"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники <-> за качеством оказываемых медицинских и специальных социальных услуг",2880,,
top_sphere_pairs,за качеством оказываемых медицинских и специальных социальных услуг <-> за охранной деятельностью,2847,,
top_sphere_pairs,за качеством оказываемых медицинских и специальных социальных услуг <-> за системой образования,2637,,
top_sphere_pairs,"в области промышленной безопасности <-> в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",1864,,
top_sphere_pairs,в области промышленной безопасности <-> за охранной деятельностью,1846,,
top_sphere_pairs,"в сфере регистрации юридических лиц, филиалов и представительств, являющихся коммерческими организациями <-> за качеством оказываемых медицинских и специальных социальных услуг",1753,,
top_sphere_pairs,в области ветеринарии <-> за качеством оказываемых медицинских и специальных социальных услуг,1752,,
top_sphere_pairs,в области промышленной безопасности <-> за системой образования,1734,,
top_sphere_pairs,в области железнодорожного транспорта <-> в области железнодорожного транспорта,1386,,
top_sphere_pairs,в области технического регулирования <-> в области электроэнергетики,1378,,
top_sphere_pairs,за качеством оказываемых медицинских и специальных социальных услуг <-> за соблюдением трудового законодательства Республики Казахстан и законодательства Республики Казахстан о занятости населения;,1351,,
top_sphere_pairs,в области поддержки и защиты субъектов предпринимательства <-> за качеством оказываемых медицинских и специальных социальных услуг,1314,,
top_sphere_pairs,в области гражданской обороны <-> в области пожарной безопасности,1275,,
top_sphere_pairs,в области ветеринарии <-> в области промышленной безопасности,1181,,
