section,key_1,key_2,count
by_type,operational_process,Операционные процессы,25956
by_type,equipment_infrastructure,Инфраструктура и оборудование,15586
by_type,documents_records,Документы и записи,10070
by_type,bad_data,Некачественные данные,8004
by_type,technical_parameter,Технические параметры и нормативы,6201
by_type,prohibition_restriction,Запреты и ограничения,4972
by_type,personnel_training,Персонал и обучение,2993
by_type,reporting_notification,Отчетность и уведомления,2785
by_type,approval_permit,Согласования и разрешения,1852
by_type,financial_cost,Финансовые обязательства,226
by_sphere_and_type,в области промышленной безопасности,Операционные процессы,10006
by_sphere_and_type,в области промышленной безопасности,Инфраструктура и оборудование,7926
by_sphere_and_type,в области промышленной безопасности,Запреты и ограничения,2902
by_sphere_and_type,в области энергосбережения и повышения энергоэффективности,Технические параметры и нормативы,2561
by_sphere_and_type,в области электроэнергетики,Инфраструктура и оборудование,2471
by_sphere_and_type,в области электроэнергетики,Операционные процессы,2209
by_sphere_and_type,в области промышленной безопасности,Документы и записи,2123
by_sphere_and_type,в области промышленной безопасности,Технические параметры и нормативы,1711
by_sphere_and_type,за качеством оказываемых медицинских и специальных социальных услуг,Документы и записи,1435
by_sphere_and_type,в сфере санитарно-эпидемиологического благополучия населения,Операционные процессы,1378
by_sphere_and_type,в сфере санитарно-эпидемиологического благополучия населения,Инфраструктура и оборудование,1308
by_sphere_and_type,в области защиты конкуренции,Некачественные данные,1299
by_sphere_and_type,"за соблюдением субъектами регулируемых рынков обязанностей, установленных законодательством Республики Казахстан о естественных монополиях и регулируемых рынках",Некачественные данные,1299
by_sphere_and_type,за соблюдением трудового законодательства Республики Казахстан и законодательства Республики Казахстан о занятости населения;,Некачественные данные,1142
by_sphere_and_type,в области пожарной безопасности,Запреты и ограничения,1100
by_sphere_and_type,в сферах естественных монополий,Некачественные данные,1085
by_sphere_and_type,в области технического регулирования,Операционные процессы,1022
by_sphere_and_type,в сфере санитарно-эпидемиологического благополучия населения,Документы и записи,955
by_sphere_and_type,в области пожарной безопасности,Инфраструктура и оборудование,874
by_sphere_and_type,за системой образования,Документы и записи,837
by_sphere_and_type,за качеством оказываемых медицинских и специальных социальных услуг,Операционные процессы,834
by_sphere_and_type,в области промышленной безопасности,Персонал и обучение,830
by_sphere_and_type,в области пожарной безопасности,Операционные процессы,803
by_sphere_and_type,в области электроэнергетики,Технические параметры и нормативы,689
by_sphere_and_type,в области железнодорожного транспорта,Операционные процессы,679
by_sphere_and_type,"в сфере обращения лекарственных средств, изделий медицинского назначения и медицинской техники",Операционные процессы,665
by_sphere_and_type,в области электроэнергетики,Документы и записи,658
by_sphere_and_type,за системой образования,Операционные процессы,572
by_sphere_and_type,за организацией и проведением мероприятий по профилактике инфекционных заболеваний,Некачественные данные,559
by_sphere_and_type,за организацией и проведением профилактических прививок населению против инфекционных заболеваний,Некачественные данные,558
by_sphere_and_type,в области метрологии,Некачественные данные,547
by_sphere_and_type,"за использованием товарного знака, знака обслуживания, наименования места происхождения товара или фирменного наименования;",Некачественные данные,528
by_sphere_and_type,"при проведении операций по недропользованию в области углеводородов, добычи урана;",Операционные процессы,526
by_sphere_and_type,в области технического регулирования,Инфраструктура и оборудование,516
by_sphere_and_type,в сфере транспорта,Операционные процессы,498
by_sphere_and_type,в области железнодорожного транспорта,Технические параметры и нормативы,426
by_sphere_and_type,в сфере газа и газоснабжения,Операционные процессы,417
by_sphere_and_type,за качеством оказываемых медицинских и специальных социальных услуг,Персонал и обучение,410
by_sphere_and_type,в области ветеринарии,Операционные процессы,409
